AURAL2,,Convert to %R("AURAL2"):AURAL2,,Convert to Abs("Convert to %R("AURAL2"):AURAL2"):Convert to %R("AURAL2"):AURAL2,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),Abs,
2169,22.83665657,2169,22.83665657,2169,0.6413674951,
2168,22.88370514,2168,22.88370514,2168,0.6404736638,
2167,22.86403847,2167,22.86403847,2167,0.6408470869,
2166,22.88144875,2166,22.88144875,2166,0.6405165195,
2165,22.86302376,2165,22.86302376,2165,0.6408663392,
2164,22.89256668,2164,22.89256668,2164,0.6403055191,
2163,22.92166901,2163,22.92166901,2163,0.6397537589,
2162,22.90646172,2162,22.90646172,2162,0.640042007,
2161,22.93130684,2161,22.93130684,2161,0.6395711899,
2160,22.98135757,2160,22.98135757,2160,0.6386243105,
2159,22.93839645,2159,22.93839645,2159,0.6394369602,
2158,22.90136719,2158,22.90136719,2158,0.6401386261,
2157,22.97529221,2157,22.97529221,2157,0.6387389302,
2156,22.97823524,2156,22.97823524,2156,0.6386833191,
2155,23.01193047,2155,23.01193047,2155,0.6380469799,
2154,22.99849701,2154,22.99849701,2154,0.6383005381,
2153,23.00369644,2153,23.00369644,2153,0.6382023692,
2152,23.04614449,2152,23.04614449,2152,0.6374017,
2151,23.0165844,2151,23.0165844,2151,0.6379591227,
2150,23.00990295,2150,23.00990295,2150,0.6380852461,
2149,23.04195404,2149,23.04195404,2149,0.6374806762,
2148,23.00584412,2148,23.00584412,2148,0.6381618381,
2147,23.00675201,2147,23.00675201,2147,0.6381446719,
2146,23.0014267,2146,23.0014267,2146,0.638245225,
2145,23.01319885,2145,23.01319885,2145,0.6380230188,
2144,23.02270889,2144,23.02270889,2144,0.6378436089,
2143,22.99571419,2143,22.99571419,2143,0.6383531094,
2142,22.98050308,2142,22.98050308,2142,0.6386404634,
2141,23.01671028,2141,23.01671028,2141,0.6379567385,
2140,22.97330093,2140,22.97330093,2140,0.6387766004,
2139,23.02216339,2139,23.02216339,2139,0.6378538609,
2138,22.95090485,2138,22.95090485,2138,0.639200151,
2137,22.98952484,2137,22.98952484,2137,0.6384699941,
2136,22.98207664,2136,22.98207664,2136,0.6386107206,
2135,22.96406746,2135,22.96406746,2135,0.6389511824,
2134,22.95423698,2134,22.95423698,2134,0.6391371489,
2133,22.95638847,2133,22.95638847,2133,0.6390964389,
