R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;T_ref;timestamp;;;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21
35,80887927;37,94665842;37,58286029;36,03224406;36,81219847;37,67936132;35,68486035;37,02627807;36,8859569;35,81723472;34,965341;34,19797168;35,63029939;34,2808423;35,05419458;36,25894617;35,48478732;34,69314888;36,89545058;34,84731943;35,71503961;28,23678231;25;2025-04-14T15:28:56;;;7,57209696;9,709876106;9,346077979;7,795461751;8,575416155;9,442579011;7,448078044;8,789495756;8,649174587;7,580452412;6,72855869;5,961189369;7,393517081;6,044059988;6,817412269;8,022163863;7,248005011;6,456366565;8,658668265;6,610537124;7,478257302
35,80887927;37,86721155;37,50375125;35,95137033;36,73409734;37,55911372;35,60783029;36,98533451;36,80662749;35,70150066;34,92746101;34,11887278;35,58889817;34,24164988;34,94856102;36,18410728;35,44757381;34,65672542;36,81649651;34,80935215;35,67589471;28,27703648;25;2025-04-14T15:28:57;;;7,531842789;9,590175069;9,226714771;7,674333845;8,457060857;9,28207724;7,330793813;8,708298032;8,529591008;7,424464178;6,650424531;5,841836297;7,311861687;5,964613402;6,671524538;7,907070795;7,170537331;6,379688941;8,539460031;6,532315666;7,398858231
35,7693858;37,78775547;37,50375125;35,8704767;36,69503623;37,51902896;35,53078993;36,944385;36,6876355;35,66291449;34,85170173;34,07931853;35,54748648;34,1632588;34,9133466;36,07189376;35,41035696;34,54744186;36,73753152;34,77138374;35,6367441;28,27703648;25;2025-04-14T15:28:58;;;7,492349318;9,510718987;9,226714771;7,593440215;8,417999744;9,24199248;7,253753451;8,66734852;8,410599017;7,38587801;6,574665248;5,80228205;7,270449997;5,886222314;6,636310123;7,794857276;7,133320481;6,270405376;8,460495041;6,494347259;7,359707615
35,72988727;37,70828988;37,42463733;35,83002233;36,65596803;37,47894303;35,45373898;36,86246795;36,60830849;35,62432419;34,81382236;34,03976104;35,46463153;34,12406005;34,87813052;35,99711423;35,37313674;34,4745748;36,69804484;34,73341418;35,59758773;28,27703648;25;2025-04-14T15:28:58;;;7,45285079;9,431253398;9,147600853;7,552985844;8,378931549;9,201906544;7,176702498;8,585431465;8,33127201;7,347287708;6,536785881;5,762724554;7,187595051;5,847023564;6,601094038;7,720077746;7,096100257;6,197538314;8,421008356;6,456377697;7,320551245
35,65087489;37,62881449;37,34551824;35,78956287;36,61689272;37,3586778;35,45373898;36,82150033;36,52898193;35,58572972;34,738064;33,96063615;35,42318819;34,00645053;34,84291273;35,92235797;35,29868603;34,43813776;36,61906291;34,65747144;35,55842556;28,31728082;25;2025-04-14T15:28:59;;;7,333594073;9,311533675;9,028237424;7,472282048;8,299611899;9,041396976;7,136458161;8,504219509;8,211701111;7,268448899;6,420783183;5,643355326;7,105907375;5,689169707;6,525631914;7,605077146;6,981405207;6,120856938;8,301782086;6,340190626;7,241144746
35,53231745;37,54932902;37,26639369;35,70862853;36,4996237;37,27849442;35,37667715;36,69856065;36,40999228;35,50852812;34,62442686;33,92106867;35,34026958;33,88882031;34,77247192;35,8476247;35,22422139;34,36525649;36,54006931;34,54354779;35,44090396;28,27703648;25;2025-04-14T15:28:59;;;7,255280964;9,272292534;8,989357204;7,431592048;8,222587218;9,001457938;7,099640663;8,421524165;8,132955795;7,231491634;6,347390374;5,644032191;7,0632331;5,611783826;6,49543544;7,570588214;6,947184912;6,088220009;8,263032829;6,266511304;7,163867473
35,49278778;37,46983316;37,18726337;35,66815358;36,42140809;37,19830545;35,33814206;36,61656979;36,37032896;35,43130939;34,54866861;33,84192349;35,29879423;33,84960546;34,73724883;35,8476247;35,14974256;34,3288122;36,50056805;34,50557054;35,36252657;28,23678231;25;2025-04-14T15:29:00;;;7,25600547;9,233050845;8,950481063;7,431371266;8,184625776;8,961523144;7,101359746;8,379787483;8,133546652;7,194527084;6,311886298;5,605141175;7,062011917;5,612823149;6,500466522;7,610842385;6,912960253;6,092029885;8,263785739;6,268788232;7,125744263
35,45325279;37,43008124;37,10812701;35,58718791;36,38228929;37,19830545;35,22251967;36,57556493;36,33066554;35,39269352;34,47290991;33,80234569;35,25730812;33,81038816;34,73724883;35,77291415;35,07524925;34,29236541;36,46106376;34,4296118;35,32332888;28,19651826;25;2025-04-14T15:29:01;;;7,256734535;9,233562982;8,911608754;7,390669648;8,185771031;9,001787196;7,02600141;8,379046674;8,13414728;7,196175265;6,276391651;5,605827435;7,060789861;5,613869902;6,540730575;7,576395888;6,878730996;6,095847154;8,264545504;6,233093546;7,126810619
35,41371245;37,35056926;37,06855647;35,58718791;36,30402953;37,07801087;35,14542344;36,53455373;36,25133821;35,35407326;34,4350303;33,72317952;35,17430347;33,77116837;34,63156843;35,69822604;35,00074118;34,25591611;36,34253238;34,39163024;35,24491529;28,15624428;25;2025-04-14T15:29:01;;;7,257468167;9,194324976;8,912312193;7,430943627;8,147785247;8,921766596;6,989179163;8,37830945;8,095093934;7,197828984;6,278786021;5,566935238;7,018059195;5,614924094;6,475324154;7,541981762;6,844496906;6,099671828;8,186288098;6,23538596;7,088671008
35,3741667;37,27104615;36,98941049;35,50620096;36,22573996;36,99780664;35,10687083;36,49353615;36,21167424;35,31544858;34,4350303;33,64399896;35,09125532;33,73194606;34,56110523;35,58623537;34,96348153;34,18300979;36,26349565;34,39163024;35,20569932;28,15624428;25;2025-04-14T15:29:02;;;7,217922422;9,114801876;8,83316621;7,349956684;8,06949568;8,841562356;6,950626551;8,337291868;8,055429959;7,159204297;6,278786021;5,487754686;6,93501104;5,575701779;6,404860949;7,429991093;6,807237249;6,026765514;8,107251371;6,23538596;7,049455039
35,2554967;37,19151164;36,94983497;35,46569942;36,14742029;36,91759576;35,06831517;36,41148169;36,13234548;35,23818578;34,4350303;33,64399896;35,04971482;33,69272118;34,49063403;35,54891608;34,92621808;34,11009298;36,18444593;34,31566254;35,12724884;28,11596033;25;2025-04-14T15:29:02;;;7,139536377;9,075551318;8,833874647;7,349739091;8,031459964;8,801635438;6,952354842;8,295521365;8,016385152;7,122225451;6,319069973;5,528038638;6,933754496;5,576760853;6,374673706;7,432955749;6,810257748;5,994132649;8,068485608;6,199702209;7,011288516
35,21592899;37,11196543;36,83109789;35,38467999;36,14742029;36,91759576;34,95262953;36,37044474;36,09268062;35,19954759;34,35927039;33,6044032;35,00816332;33,6534937;34,45539536;35,47429367;34,92621808;34,07363054;36,14491611;34,2396885;35,08801426;28,15624428;25;2025-04-14T15:29:03;;;7,059684711;8,955721152;8,674853612;7,22843571;7,991176012;8,761351486;6,796385252;8,214200463;7,936436341;7,043303314;6,203026108;5,448158923;6,851919045;5,49724942;6,299151076;7,318049389;6,769973796;5,917386265;7,988671836;6,083444219;6,931769983
35,13677676;37,07218784;36,75193069;35,34416203;36,06907022;36,83737797;34,91406131;36,32940126;36,05301539;35,12225747;34,28350931;33,56480373;34,92502716;33,61426358;34,42015458;35,36240001;34,88895079;34,03716538;36,06584636;34,20169901;35,08801426;28,11596033;25;2025-04-14T15:29:03;;;7,020816435;8,956227516;8,635970361;7,228201701;7,953109897;8,72141764;6,798100984;8,213440932;7,937055066;7,006297142;6,167548982;5,448843402;6,80906683;5,498303251;6,304194255;7,24643968;6,772990466;5,921205055;7,949886036;6,085738688;6,972053935
35,09719217;37,03240722;36,67275582;35,30363852;35,99068946;36,79726638;34,87548986;36,32940126;35,93401713;35,04494876;34,20774678;33,52520051;34,88344241;33,57503078;34,34966661;35,32511264;34,85167964;33,96422673;35,9472159;34,16370784;35,0487734;28,11596033;25;2025-04-14T15:29:04;;;6,981231844;8,916446891;8,556795497;7,18767819;7,874729132;8,68130605;6,759529533;8,213440932;7,818056802;6,928988432;6,091786452;5,40924018;6,767482079;5,459070452;6,233706284;7,20915231;6,735719317;5,848266406;7,831255574;6,047747513;6,932813075
35,01800585;36,95283671;36,63316543;35,26310942;35,9122777;36,71703763;34,87548986;36,24729454;35,85468243;35,00628734;34,13198251;33,4855935;34,84184649;33,49655699;34,31441935;35,25055347;34,77712561;33,92775318;35,86811127;34,08772027;35,00952622;28,11596033;25;2025-04-14T15:29:05;;;6,902045519;8,836876385;8,517205101;7,147149092;7,79631737;8,6010773;6,759529533;8,131334213;7,738722104;6,890327016;6,016022184;5,369633171;6,725886159;5,380596667;6,198459022;7,13459314;6,661165282;5,811792849;7,752150944;5,971759947;6,893565897
34,97840404;36,87325362;36,59357301;35,22257469;35,83383464;36,59668002;34,75975575;36,16516123;35,77534537;34,96762117;34,09409964;33,44598266;34,84184649;33,45731593;34,2439181;35,28783047;34,70255569;33,89127675;35,78899217;34,01172551;34,93101277;28,15624428;25;2025-04-14T15:29:05;;;6,822159756;8,717009337;8,437328727;7,066330414;7,677590357;8,440435739;6,60351147;8,008916947;7,61910109;6,811376891;5,937855357;5,289738385;6,685602207;5,301071653;6,087673824;7,131586189;6,546311408;5,735032473;7,632747889;5,855481234;6,774768487
34,97840404;36,79365764;36,55397852;35,10093637;35,79460127;36,51643152;34,68258284;36,08300101;35,73567586;34,9289502;34,05621622;33,36674936;34,75862098;33,37882528;34,17340768;35,17601483;34,62796959;33,81831516;35,78899217;33,97372534;34,85247358;28,11596033;25;2025-04-14T15:29:06;;;6,862443708;8,677697309;8,438018194;6,984976043;7,678640948;8,400471193;6,566622516;7,967040681;7,619715531;6,812989876;5,940255892;5,250789036;6,642660651;5,262864952;6,057447349;7,060054504;6,512009268;5,702354834;7,673031841;5,857765018;6,736513256
34,93879641;36,75385472;36,47478322;35,06037875;35,75535998;36,47630413;34,64399123;35,95970956;35,65633469;34,85159374;34,05621622;33,32712682;34,7169913;33,33957561;34,13814894;35,13875313;34,55336705;33,78182992;35,70985829;33,93572327;34,81319425;28,11596033;25;2025-04-14T15:29:06;;;6,822836081;8,637894394;8,35882289;6,944418423;7,63939965;8,360343804;6,528030902;7,84374923;7,540374365;6,735633412;5,940255892;5,211166491;6,601030978;5,223615284;6,022188609;7,022792801;6,437406724;5,665869598;7,593897967;5,819762943;6,697233924
34,89918292;36,67423886;36,39557922;35,06037875;35,7161107;36,39604288;34,5667975;35,91859862;35,61666296;34,77421766;33,98044762;33,28750029;34,63369791;33,300323;34,06762424;35,06424478;34,47874777;33,74534168;35,67028573;33,89771925;34,69531683;28,07566636;25;2025-04-14T15:29:07;;;6,823516569;8,598572501;8,319912865;6,984712394;7,640444347;8,320376529;6,491131143;7,842932262;7,540996605;6,6985513;5,90478126;5,211833937;6,558031556;5,224656643;5,991957882;6,988578424;6,403081413;5,669675326;7,594619369;5,822052896;6,619650475
34,85956355;36,67423886;36,31636624;35,01981531;35,67685342;36,31577276;34,52819531;35,87748072;35,57699042;34,69682166;33,94256236;33,28750029;34,55035884;33,2610674;34,03235821;35,02699807;34,47874777;33,7088504;35,63070935;33,82170524;34,65601109;28,07566636;25;2025-04-14T15:29:07;;;6,783897192;8,598572501;8,24069988;6,944148953;7,601187061;8,240106409;6,452528951;7,801814364;7,501324061;6,6211553;5,866896003;5,211833937;6,474692488;5,185401047;5,956691858;6,951331712;6,403081413;5,633184042;7,555042995;5,746038888;6,580344733
34,81993824;36,55478942;36,27675628;34,93867081;35,63758808;36,27563428;34,45098009;35,83635582;35,53731702;34,65811609;33,86678975;33,24786975;34,50867208;33,22180879;33,96181865;34,95251939;34,44143176;33,67235604;35,59112914;33,74568303;34,61669865;28,03536232;25;2025-04-14T15:29:08;;;6,78457592;8,519427097;8,241393961;6,90330849;7,60222576;8,240271963;6,415617766;7,800993504;7,501954701;6,622753775;5,831427431;5,212507428;6,473309757;5,186446467;5,926456327;6,917157075;6,406069443;5,636993718;7,555766816;5,710320714;6,58133633
34,70102634;36,47513893;36,19752926;34,85750256;35,59831465;36,19535029;34,3351296;35,75408488;35,45796752;34,58068966;33,79101411;33,16859644;34,42526386;33,14328233;33,92654504;34,84083775;34,36678684;33,56285415;35,47236506;33,70766876;34,57737947;28,03536232;25;2025-04-14T15:29:09;;;6,665664019;8,439776607;8,162166939;6,822140239;7,562952334;8,159987968;6,299767284;7,718722561;7,422605205;6,545327342;5,755651794;5,133234122;6,389901544;5,107920015;5,891182718;6,805475435;6,331424522;5,527491829;7,43700274;5,672306442;6,542017155
34,66137692;36,43530831;36,11829251;34,81690943;35,51974338;36,1552047;34,3351296;35,71293876;35,37861417;34,50324257;33,75312507;33,1289536;34,42526386;33,10401442;33,89126883;34,76640718;34,32945786;33,52634713;35,4327691;33,70766876;34,49872076;28,03536232;25;2025-04-14T15:29:09;;;6,626014597;8,399945992;8,082930188;6,781547109;7,484381065;8,119842379;6,299767284;7,677576436;7,343251855;6,467880248;5,717762749;5,093591283;6,389901544;5,068652104;5,855906514;6,731044857;6,294095536;5,490984814;7,39740678;5,672306442;6,463358444
34,58205966;36,35563615;36,03904573;34,77631024;35,4411393;36,11505666;34,29650525;35,67178548;35,25957627;34,42577451;33,71523516;33,04965536;34,34180913;33,06474334;33,85599;34,69199536;34,25478665;33,48983687;35,35356505;33,6316337;34,45938115;28,07566636;25;2025-04-14T15:29:10;;;6,506393305;8,279969797;7,963379375;6,700643888;7,365472949;8,039390309;6,220838898;7,59611912;7,183909913;6,350108157;5,639568803;4,973989003;6,266142774;4,989076982;5,780323646;6,616329003;6,179120297;5,414170512;7,277898697;5,555967347;6,383714794
34,54239175;36,31579453;35,95978863;34,73570496;35,40182487;36,07490615;34,29650525;35,630625;35,18021197;34,38703253;33,6394526;33,00999987;34,34180913;32,98619149;33,78542432;34,6547964;34,21744437;33,45332332;35,31395689;33,59361284;34,42003465;28,07566636;25;2025-04-14T15:29:10;;;6,466725393;8,240128179;7,884122275;6,660038608;7,32615851;7,999239793;6,220838898;7,554958646;7,104545618;6,311366176;5,563786242;4,934333519;6,266142774;4,910525132;5,709757962;6,579130045;6,14177801;5,377656959;7,238290535;5,517946488;6,344368291
34,46303716;36,15639026;35,88052091;34,69509355;35,36250211;35,95443933;34,21924505;35,50710003;35,10084278;34,30953248;33,56366614;32,9703401;34,25830754;32,94691065;33,71484772;34,54322692;34,18009757;33,41680644;35,1951074;33,47953651;34,30195342;27,99504817;25;2025-04-14T15:29:11;;;6,467988991;8,161342092;7,885472737;6,70004538;7,367453939;7,959391159;6,224196878;7,512051854;7,105794606;6,314484304;5,568617971;4,975291926;6,263259365;4,951862474;5,719799548;6,548178745;6,185049401;5,42175827;7,200059225;5,484488343;6,306905244
34,42335041;36,15639026;35,88052091;34,65447597;35,20512715;35,87411501;34,14196925;35,42471335;35,06115625;34,30953248;33,4878755;32,93067599;34,21653906;32,86833894;33,67955524;34,54322692;34,14274624;33,34376259;35,11585318;33,44150637;34,26257897;27,99504817;25;2025-04-14T15:29:12;;;6,42830224;8,161342092;7,885472737;6,659427794;7,210078981;7,879066843;6,146921083;7,42966518;7,066108075;6,314484304;5,492827331;4,935627817;6,22149089;4,873290767;5,684507072;6,548178745;6,147698066;5,348714419;7,120805011;5,446458195;6,267530797
34,3836573;36,07666492;35,80124227;34,61385217;35,16576224;35,79377986;34,14196925;35,38350889;35,06115625;34,27077432;33,44997852;32,89100751;34,13296654;32,86833894;33,67955524;34,46886975;34,0680298;33,30723554;35,0762196;33,4034738;34,22319744;27,95472387;25;2025-04-14T15:29:12;;;6,428933436;8,121941058;7,846518401;6,659128302;7,211038372;7,839055995;6,187245389;7,428785023;7,106432381;6,316050459;5,495254658;4,936283642;6,178242674;4,913615073;5,724831378;6,51414588;6,113305936;5,352511677;7,121495731;5,448749939;6,268473573
34,3439578;36,07666492;35,72195241;34,53258578;35,08700673;35,71343357;34,06467757;35,34229696;34,94208848;34,27077432;33,41208039;32,85133462;34,09116241;32,82904799;33,57366071;34,4316978;33,99329477;33,23417103;34,99693928;33,36543879;34,22319744;27,95472387;25;2025-04-14T15:29:13;;;6,38923393;8,121941058;7,767228541;6,577861912;7,132282863;7,758709701;6,109953705;7,387573091;6,98736461;6,316050459;5,457356524;4,89661075;6,136438542;4,874324129;5,61893684;6,476973939;6,038570903;5,27944716;7,042215413;5,410714927;6,268473573
