35,82534875;38,41501663;35,41931701;32,20130081;36,83409922;37,02078386;32,82689625;36,80351195;35,99189155;32,79509996;35,51377905;38,09612803;35,39206419;34,13241706;37,69444633;36,69990367;33,13905538;37,93081257;38,78375717;33,48969606;40,58256098;24,43566335;0,003;0,91;0,16;0,399;0,068;0,098;20,19707195;24,43566335;2025-04-18T13:18:39
35,94450304;38,49488385;35,49912809;32,24260931;36,95188897;37,14180638;32,90494805;36,92714131;36,07169853;32,83432614;35,62812786;38,25475097;35,4754531;34,21128152;37,80063613;36,77536479;33,21447261;38,07714994;38,90262709;33,60445446;40,69938754;24,43566335;0,003;0,898;0,161;0,398;0,067;0,098;20,34320246;24,43566335;2025-04-18T13:18:40
36,06361279;38,65459756;35,57892665;32,36648264;37,03038078;37,26281501;32,98297885;37,0507159;36,23130807;32,91275762;35,78060578;38,41338449;35,55879918;34,36898521;37,9422364;36,88860612;33,28986766;38,18691303;39,02148948;33,68094858;40,8551401;24,47729568;0,003;0,898;0,16;0,396;0,067;0,098;20,4859478;24,47729568;2025-04-18T13:18:40
36,14299503;38,77436586;35,61882134;32,44902181;37,14806723;37,34348023;33,06098898;37,13306904;36,31111123;32,99116155;35,8568509;38,57203092;35,68373872;34,48724209;38,04844813;37,03968872;33,36524083;38,29668575;39,10072738;33,79567326;40,9719436;24,51891334;0,004;0,909;0,161;0,398;0,067;0,099;20,57999274;24,51891334;2025-04-18T13:18:40
36,2620328;38,89412069;35,73848748;32,53152694;37,26569303;37,46446799;33,09998639;37,25655465;36,43081482;33,03035328;36,00935485;38,73069259;35,80858375;34,56607064;38,11926192;37,15307252;33,44059241;38,406469;39,25919561;33,87214582;41,08873878;24,56051636;0,003;0,909;0,162;0,399;0,067;0,099;20,67404556;24,56051636;2025-04-18T13:18:41
36,38102874;39,01386306;35,81825035;32,61399837;37,38325917;37,5854446;33,21694847;37,37998826;36,51061689;33,18705291;36,12374596;38,88937186;35,9333354;34,68430017;38,260905;37,26651896;33,55357998;38,51626368;39,37804129;33,94861026;41,20552657;24,51891334;0,003;0,898;0,162;0,4;0,067;0,099;20,87216601;24,51891334;2025-04-18T13:18:41
36,49998388;39,13359394;35,93787358;32,73764308;37,46160395;37,66608996;33,29489844;37,50337091;36,63032023;33,2653629;36,27628679;39,00839425;36,01645183;34,80251464;38,36715189;37,380029;33,62887891;38,58946692;39,49688334;34,0250669;41,36123372;24,56051636;0,004;0,897;0,161;0,402;0,066;0,1;21,01489122;24,56051636;2025-04-18T13:18:41
36,61889923;39,21340863;35,97774252;32,7788415;37,53992296;37,78705021;33,37282899;37,5855982;36,75002477;33,34364676;36,39070816;39,12742883;36,14105029;34,92071509;38,47341223;37,49360358;33,70415731;38,69928265;39,61572274;34,13973784;41,47800788;24,56051636;0,004;0,897;0,161;0,399;0,066;0,1;21,16095619;24,56051636;2025-04-18T13:18:42
36,69815453;39,33312256;36,09733349;32,86121388;37,61821647;37,908002;33,41178708;37,70889819;36,86973152;33,42190481;36,50514412;39,24647658;36,2655583;35,03890254;38,57968691;37,64513841;33,77941546;38,77250076;39,73456046;34,21617622;41,59477775;24,60210481;0,003;0,889;0,161;0,399;0,066;0,101;21,25499559;24,60210481;2025-04-18T13:18:42
36,81700583;39,4927275;36,21690144;32,94355392;37,6964848;37,98863233;33,48968907;37,79107133;36,94953775;33,50013737;36,58144333;39,36553849;36,34851392;35,15707799;38,68597678;37,75886731;33,89226537;38,88234004;39,85339747;34,33082114;41,71154426;24,60210481;0,003;0,9;0,16;0,398;0,067;0,101;21,40105099;24,60210481;2025-04-18T13:18:42
