temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
191.673,NIR,973.0,4.9753717330443905
192.213,NIR,973.0,4.9760323879907205
192.739,NIR,973.0,4.992566975248313
193.277,NIR,973.0,4.992566975248313
193.807,NIR,973.0,4.992566975248313
194.341,NIR,973.0,4.985043758186575
194.901,NIR,973.0,5.000750847256382
195.415,NIR,973.0,5.000750847256382
195.944,NIR,973.0,5.000750847256382
196.476,NIR,970.0,5.002234735402537
197.011,NIR,970.0,5.002234735402537
197.559,NIR,973.0,5.008274064318121
198.084,NIR,973.0,5.008274064318121
198.621,NIR,973.0,5.008274064318121
199.158,NIR,973.0,5.000750847256382
199.657,NIR,973.0,5.008274064318121
200.219,NIR,973.0,5.008274064318121
200.766,NIR,973.0,5.008274064318121
201.307,NIR,973.0,5.000750847256382
201.833,NIR,973.0,5.000750847256382
202.373,NIR,973.0,4.9760323879907205
202.9,NIR,973.0,4.9760323879907205
203.442,NIR,973.0,4.9760323879907205
203.966,NIR,973.0,4.983555605052459
204.505,NIR,973.0,4.991078822114197
205.041,NIR,973.0,5.307256728733461
205.58,NIR,973.0,5.554212581388806
206.108,NIR,973.0,5.808645840308726
206.643,NIR,973.0,6.040555258840593
207.18,NIR,973.0,6.277132620610261
207.716,NIR,973.0,6.556284338795843
208.255,NIR,975.0,6.805642763125059
208.782,NIR,973.0,7.049489578363039
209.323,NIR,975.0,7.31583398735974
209.862,NIR,975.0,7.549100657674676
210.392,NIR,975.0,7.557294654031303
210.93,NIR,975.0,7.557294654031303
211.458,NIR,975.0,7.557294654031303
211.999,NIR,977.0,7.566715288491619
212.603,NIR,975.0,7.557294654031303
213.059,NIR,975.0,7.564838647372173
213.59,NIR,975.0,7.549100657674676
214.143,NIR,975.0,7.54300970556977
214.638,NIR,975.0,7.54300970556977
215.201,NIR,975.0,7.55055369891064
215.738,NIR,975.0,7.55055369891064
216.277,NIR,975.0,7.5423597025540134
216.804,NIR,975.0,7.5423597025540134
217.338,NIR,975.0,7.55055369891064
217.874,NIR,975.0,7.55055369891064
218.455,NIR,975.0,7.564838647372173
218.947,NIR,975.0,7.5730326437288
219.479,NIR,977.0,7.566715288491619
220.014,NIR,977.0,7.566715288491619
220.557,NIR,977.0,7.566715288491619
221.084,NIR,977.0,7.566715288491619
221.626,NIR,977.0,7.566715288491619
222.153,NIR,977.0,7.566715288491619
222.693,NIR,977.0,7.5585060038799625
223.224,NIR,977.0,7.5585060038799625
223.762,NIR,977.0,7.5585060038799625
224.294,NIR,975.0,7.51543529780983
224.821,NIR,975.0,7.549100657674676
225.374,NIR,975.0,7.541556664333806
225.9,NIR,975.0,7.541556664333806
226.44,NIR,975.0,7.5497506606904325
226.971,NIR,975.0,7.5497506606904325
227.513,NIR,977.0,7.55914873271179
228.039,NIR,975.0,7.5497506606904325
228.58,NIR,975.0,7.5354657122289
229.119,NIR,975.0,7.54300970556977
229.632,NIR,975.0,7.54300970556977
230.183,NIR,975.0,7.534815709213143
230.721,NIR,975.0,7.534815709213143
231.248,NIR,975.0,7.5423597025540134
231.785,NIR,975.0,7.5423597025540134
232.322,NIR,975.0,7.5423597025540134
232.86,NIR,975.0,7.556644651015546
233.398,NIR,975.0,7.549100657674676
233.927,NIR,975.0,7.549100657674676
234.463,NIR,975.0,7.541556664333806
235.002,NIR,975.0,7.534815709213143
235.528,NIR,977.0,7.544276801459499
236.065,NIR,977.0,7.536710245679669
236.601,NIR,977.0,7.544276801459499
237.14,NIR,977.0,7.544276801459499
237.667,NIR,977.0,7.536710245679669
238.205,NIR,977.0,7.550939448100133
238.743,NIR,973.0,7.487929301214782
239.282,NIR,975.0,7.549100657674676
239.807,NIR,975.0,7.556644651015546
240.349,NIR,973.0,7.542694817930235
240.871,NIR,973.0,7.5433554728765655
241.424,NIR,973.0,7.550878689938303
241.983,NIR,973.0,7.535171600868496
242.49,NIR,973.0,7.535171600868496
243.016,NIR,973.0,7.535171600868496
243.553,NIR,973.0,7.535171600868496
244.092,NIR,973.0,7.542694817930235
244.622,NIR,973.0,7.542694817930235
245.157,NIR,975.0,7.556644651015546
245.692,NIR,975.0,7.556644651015546
246.227,NIR,973.0,7.509792486656504
246.763,NIR,975.0,7.556644651015546
247.296,NIR,975.0,7.556644651015546
247.835,NIR,975.0,7.556644651015546
248.372,NIR,975.0,7.556644651015546
248.899,NIR,975.0,7.556644651015546
249.435,NIR,975.0,7.549100657674676
249.985,NIR,973.0,7.535171600868496
250.513,NIR,973.0,7.527648383806758
251.037,NIR,973.0,7.527648383806758
251.575,NIR,973.0,7.535171600868496
252.11,NIR,973.0,7.535171600868496
252.652,NIR,973.0,7.5433554728765655
253.176,NIR,973.0,7.5433554728765655
253.712,NIR,973.0,7.5433554728765655
254.25,NIR,975.0,7.590960013896148
254.759,NIR,975.0,7.5654886503879295
255.317,NIR,975.0,7.5654886503879295
255.86,NIR,975.0,7.5654886503879295
256.389,NIR,975.0,7.5730326437288
