R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;PD25;PD26;PD27;PD28;PD29;PD30;Puissance estimée (W);T_ref;timestamp
34,79065761;38,85420385;38,20724118;34,74752739;36,44100382;39,11727657;35,27690625;36,88593766;37,9074327;35,25429869;36,08561427;36,70826907;36,30704105;35,5903018;35,32332015;38,63310979;35,3931235;34,67431863;39,10072738;35,32391663;36,75443887;26,13113266;0,004;1,038;0,197;0,462;0,072;0,106;16,24349698;26,13113266;2025-04-18T13:28:19
34,91024151;39,09368486;38,44589292;34,87004978;36,59832879;39,3994412;35,4319718;37,0507159;38,14700566;35,37087529;36,31442569;36,94621129;36,51430732;35,82656135;35,46494635;38,93820682;35,50543803;34,82086903;39,2988113;35,43846436;36,87213116;26,1722076;0,004;1,043;0,199;0,464;0,072;0,106;16,54505991;26,1722076;2025-04-18T13:28:20
35,02977182;39,29321895;38,64475905;34,95170093;36,79482196;39,68163267;35,58699296;37,21539861;38,42657842;35,48741172;36,54329284;37,14448091;36,72133142;36,02342792;35,60655378;39,20561935;35,65514433;34,93076018;39,49688334;35,55300721;37,02898927;26,1722076;0,004;1,055;0,198;0,46;0,073;0,106;16,8980343;26,1722076;2025-04-18T13:28:20
35,14924961;39,53262655;38,8038485;35,07413278;36,95188897;39,96386363;35,7419721;37,37998826;38,66628218;35,64273287;36,77222342;37,34274131;36,92811833;36,25965508;35,74814457;39,39689417;35,80479968;35,07725464;39,65533545;35,70572512;37,18577533;26,21327006;0,003;1,051;0,199;0,455;0,073;0,107;17,19969581;26,21327006;2025-04-18T13:28:20
35,22887281;39,73211047;38,96293739;35,19651174;37,1088452;40,20581689;35,89691158;37,50337091;38,86609074;35,75917948;37,00122511;37,54099711;37,13467303;36,45650589;35,88972083;39,66506081;35,95440634;35,18710639;39,81378515;35,82026037;37,303319;26,21327006;0,003;1,047;0,201;0,46;0,072;0,107;17,50233893;26,21327006;2025-04-18T13:28:21
35,34826538;39,93157883;39,1618013;35,27806885;37,2264911;40,48815472;36,05181374;37,6678036;39,10593444;35,9531758;37,19211969;37,69960153;37,2997529;36,73209845;36,03128465;39,89528106;36,06658074;35,33355169;39,97223474;35,93479397;37,42082443;26,25432009;0,003;1,044;0,202;0,461;0,073;0,107;17,80414967;26,25432009;2025-04-18T13:28:21
35,46760822;40,09114537;39,32089751;35,40036201;37,34407702;40,73021824;36,20668094;37,83214996;39,34586577;36,06952641;37,42127163;37,89786064;37,50590201;36,92895758;36,17283814;40,08739337;36,21610759;35,40676481;40,1306865;36,08750453;37,53829262;26,29535774;0,003;1,045;0,203;0,465;0,073;0,107;18,05559945;26,29535774;2025-04-18T13:28:21
35,58690237;40,25070716;39,51977793;35,48186291;37,50076666;40,9723452;36,32280979;37,99641242;39,54588122;36,18584284;37,61230214;38,01681979;37,67066374;37,16520385;36,27899774;40,27974885;36,3282247;35,55317336;40,24952814;36,20203802;37,65572454;26,33638306;0,003;1,037;0,203;0,462;0,073;0,108;18,30714402;26,33638306;2025-04-18T13:28:22
35,70614887;40,41026652;39,67889323;35,56334188;37,65735377;41,17417187;36,43892128;38,16059338;39,74596767;36,34087995;37,80340153;38,17543833;37,87642304;37,36209388;36,45592251;40,47235213;36,44031884;35,66296537;40,40798924;36,35475191;37,77312117;26,33638306;0,003;1,039;0,202;0,463;0,074;0,108;18,55959547;26,33638306;2025-04-18T13:28:22
35,74588729;40,60971582;39,8380208;35,68551989;37,77472822;41,37605269;36,59371126;38,28367708;39,94612971;36,49586039;37,99457422;38,37372499;38,0408792;37,55900529;36,56207407;40,62661627;36,55239093;35,77274606;40,52684051;36,46929051;37,89048349;26,41839692;0,003;1,047;0,201;0,462;0,074;0,108;18,70952902;26,41839692;2025-04-18T13:28:22
35,86507186;40,76927813;39,99716295;35,8076503;37,93114151;41,57799227;36,70978602;38,44772124;40,14637197;36,5733301;38,18582463;38,49270594;38,20520355;37,75594267;36,70360746;40,81967726;36,66444193;35,88251636;40,64569752;36,5838329;38,00781247;26,41839692;0,004;1,047;0,2;0,465;0,074;0,107;18,9621217;26,41839692;2025-04-18T13:28:23
